timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
163408.00, V, DVTLAM, 1, P, 13.44, 15, 32
163408.00, V, DVTLAM, 1, A, 11.81, 15, 28
163408.00, V, DVTLAM, 1, B, 5.5, 15, 12
163408.00, V, DVTLAM, 1, R, 19.5, 15, 3F
163408.00, A, DVTLAM, 1, D, 225.5, 15, 03
163408.00, V, DVTLAM, 1, T, 1.94, 15, 08
163408.00, A, DVTLAM, 1, S, 47.0, 15, 27
163408.00, A, DVTLAS, 1, A, 19.13, 1, 17
163408.00, V, DVTLAS, 1, B, 6.44, 1, 3F
163408.00, V, DVTLAS, 1, R, 14.19, 1, 14
163408.00, V, DVTLAS, 1, P, 12.0, 1, 18
163408.00, A, DVTLAS, 1, D, 225.25, 15, 1F
163408.00, A, TEY, 2, H, nan, 15, 5C
163408.00, V, TSP, 1, Y, 1.44, 15, 59
163408.00, V, TSP, 1, X, 0.11, 15, 59
163411.00, V, DVTLAM, 1, P, 13.44, 15, 3A
163411.00, V, DVTLAM, 1, A, 11.81, 15, 20
163411.00, V, DVTLAM, 1, B, 5.5, 15, 1A
163411.00, V, DVTLAM, 1, R, 19.5, 15, 37
163411.00, A, DVTLAM, 1, D, 224.44, 15, 0F
163411.00, V, DVTLAM, 1, T, 1.94, 15, 00
163411.00, V, DVTLAM, 1, S, 47.0, 15, 38
163411.00, V, DVTLAS, 1, A, 19.13, 1, 08
163411.00, V, DVTLAS, 1, B, 6.44, 1, 37
163411.00, V, DVTLAS, 1, R, 14.19, 1, 1C
163411.00, V, DVTLAS, 1, P, 12.0, 1, 10
163411.00, A, DVTLAS, 1, D, 224.44, 15, 11
163411.00, A, TEY, 2, H, nan, 15, 54
163411.00, V, TSP, 1, Y, 1.44, 15, 51
163411.00, V, TSP, 1, X, 0.11, 15, 51
163414.00, A, DVTLAM, 1, A, 18.56, 1, 04
163414.00, V, DVTLAM, 1, B, 5.5, 1, 2A
163414.00, V, DVTLAM, 1, R, 17.38, 1, 07
163414.00, V, DVTLAM, 1, P, 13.44, 1, 0A
163414.00, A, DVTLAM, 1, D, 226.5, 15, 0D
163414.00, V, DVTLAM, 1, T, 1.94, 15, 05
163414.00, V, DVTLAM, 1, S, 47.0, 15, 3D
163414.00, V, DVTLAS, 1, A, 19.13, 1, 0D
163414.00, V, DVTLAS, 1, B, 6.44, 1, 32
163414.00, V, DVTLAS, 1, R, 14.19, 1, 19
163414.00, V, DVTLAS, 1, P, 12.0, 1, 15
163414.00, A, DVTLAS, 1, D, 225.75, 15, 17
163414.00, A, TEY, 2, O, 5.63, 15, 48
163414.00, A, TEY, 2, C, 0.0, 15, 44
163414.00, A, TEY, 2, F, 0.0, 15, 41
163414.00, A, TEY, 2, H, 5.63, 15, 4F
163414.00, A, TSP, 1, X, 0.06, 15, 45
163414.00, V, TSP, 1, Y, 1.44, 15, 54
163417.00, V, DVTLAM, 1, A, 18.56, 1, 10
163417.00, V, DVTLAM, 1, B, 5.5, 1, 29
163417.00, V, DVTLAM, 1, R, 17.38, 1, 04
163417.00, V, DVTLAM, 1, P, 13.44, 1, 09
163417.00, A, DVTLAM, 1, D, 225.13, 15, 0A
163417.00, A, DVTLAM, 1, T, 2.0, 15, 1F
163417.00, A, DVTLAM, 1, S, 46.0, 15, 28
163417.00, A, DVTLAS, 1, R, 21.75, 14, 35
163417.00, V, DVTLAS, 1, A, 19.13, 14, 3A
163417.00, V, DVTLAS, 1, B, 6.44, 14, 05
163417.00, V, DVTLAS, 1, P, 12.0, 14, 22
163417.00, A, DVTLAS, 1, D, 225.31, 15, 14
163417.00, A, TEY, 2, O, 5.56, 15, 4D
163417.00, A, TEY, 2, C, 0.0, 15, 47
163417.00, A, TEY, 2, F, 0.0, 15, 42
163417.00, A, TEY, 2, H, 5.56, 15, 4A
163417.00, V, TSP, 1, X, 0.06, 15, 51
163417.00, V, TSP, 1, Y, 1.44, 15, 57
163420.00, V, DVTLAM, 1, A, 18.56, 1, 14
163420.00, V, DVTLAM, 1, B, 5.5, 1, 2D
163420.00, V, DVTLAM, 1, R, 17.38, 1, 00
163420.00, V, DVTLAM, 1, P, 13.44, 1, 0D
163420.00, V, DVTLAM, 1, D, 225.13, 15, 19
163420.00, V, DVTLAM, 1, T, 2.0, 15, 0C
163420.00, V, DVTLAM, 1, S, 46.0, 15, 3B
163420.00, A, DVTLAS, 1, B, 7.44, 15, 16
163420.00, V, DVTLAS, 1, A, 19.13, 15, 3F
163420.00, V, DVTLAS, 1, R, 21.75, 15, 27
163420.00, V, DVTLAS, 1, P, 12.0, 15, 27
163420.00, V, DVTLAS, 1, D, 225.31, 15, 07
163420.00, A, TEY, 2, O, 5.19, 15, 42
163420.00, A, TEY, 2, C, 0.0, 15, 43
163420.00, A, TEY, 2, F, 0.0, 15, 46
163420.00, A, TEY, 2, H, 5.19, 15, 45
163420.00, V, TSP, 1, X, 0.06, 15, 55
163420.00, V, TSP, 1, Y, 1.44, 15, 53
163423.00, A, DVTLAM, 1, R, 19.75, 15, 26
163423.00, V, DVTLAM, 1, A, 18.56, 15, 22
163423.00, V, DVTLAM, 1, B, 5.5, 15, 1B
163423.00, V, DVTLAM, 1, P, 13.44, 15, 3B
163423.00, A, DVTLAM, 1, D, 225.88, 15, 0F
163423.00, V, DVTLAM, 1, T, 2.0, 15, 0F
163423.00, V, DVTLAM, 1, S, 46.0, 15, 38
163423.00, V, DVTLAS, 1, B, 7.44, 15, 02
163423.00, V, DVTLAS, 1, A, 19.13, 15, 3C
163423.00, V, DVTLAS, 1, R, 21.75, 15, 24
163423.00, V, DVTLAS, 1, P, 12.0, 15, 24
163423.00, A, DVTLAS, 1, D, 225.25, 15, 16
163423.00, A, TEY, 2, O, 5.25, 15, 4E
163423.00, A, TEY, 2, C, 0.0, 15, 40
163423.00, A, TEY, 2, F, 0.0, 15, 45
163423.00, A, TEY, 2, H, 5.25, 15, 49
163423.00, A, TSP, 1, Y, 1.16, 15, 40
163423.00, V, TSP, 1, X, 0.06, 15, 56
163426.00, V, DVTLAM, 1, R, 19.75, 15, 34
163426.00, V, DVTLAM, 1, A, 18.56, 15, 27
163426.00, V, DVTLAM, 1, B, 5.5, 15, 1E
163426.00, V, DVTLAM, 1, P, 13.44, 15, 3E
163426.00, A, DVTLAM, 1, D, 225.0, 15, 0A
163426.00, V, DVTLAM, 1, T, 2.0, 15, 0A
163426.00, V, DVTLAM, 1, S, 46.0, 15, 3D
163426.00, A, DVTLAS, 1, P, 12.56, 15, 35
163426.00, V, DVTLAS, 1, A, 19.13, 15, 39
163426.00, V, DVTLAS, 1, B, 7.44, 15, 07
163426.00, V, DVTLAS, 1, R, 21.75, 15, 21
163426.00, A, DVTLAS, 1, D, 223.44, 15, 12
163426.00, A, TEY, 2, O, 5.19, 15, 44
163426.00, A, TEY, 2, C, 0.0, 15, 45
163426.00, A, TEY, 2, F, 0.0, 15, 40
163426.00, A, TEY, 2, H, 5.19, 15, 43
163426.00, V, TSP, 1, Y, 1.16, 15, 52
163426.00, V, TSP, 1, X, 0.06, 15, 53
163429.00, A, DVTLAM, 1, B, 6.31, 15, 02
163429.00, V, DVTLAM, 1, A, 18.56, 15, 28
163429.00, V, DVTLAM, 1, R, 19.75, 15, 3B
163429.00, V, DVTLAM, 1, P, 13.44, 15, 31
163429.00, V, DVTLAM, 1, D, 225.0, 15, 12
