# lists which metier to distribute catches on based on logbooks. these are specific to ICES areas
# list for WKNSSK
metier	REDSKAP_FAO	MASKEVIDDE	ICESarea	ICESareatype
GNS_DEF_all_0_0_all	GEN	63	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	74	27.4	SubArea
GNS_DEF_all_0_0_all	GN	74	27.4	SubArea
GNS_DEF_all_0_0_all	GN	75	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	76	27.4	SubArea
GNS_DEF_all_0_0_all	GN	76	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	84	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	85	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	90	27.4	SubArea
GNS_DEF_all_0_0_all	GN	90	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	94	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	120	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	126	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	140	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	142	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	146	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	148	27.4	SubArea
GNS_DEF_all_0_0_all	GN	148	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	150	27.4	SubArea
GNS_DEF_all_0_0_all	GN	150	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	152	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	157	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	168	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	170	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	174	27.4	SubArea
GNS_DEF_all_0_0_all	GNS	175	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	180	27.4	SubArea
GNS_DEF_all_0_0_all	GN	180	27.4	SubArea
GNS_DEF_all_0_0_all	GNC	180	27.4	SubArea
GNS_DEF_all_0_0_all	GEN	186	27.4	SubArea
LLS_FIF_0_0_0_all	LL	NON	27.4	SubArea
LLS_FIF_0_0_0_all	LLS	NON	27.4	SubArea
SDN_DEF_>=120_0_0_all	SV	120	27.4	SubArea
SDN_DEF_>=120_0_0_all	SV	125	27.4	SubArea
SSC_DEF_>=120_0_0_all	SSC	120	27.4	SubArea
SSC_DEF_>=120_0_0_all	SSC	125	27.4	SubArea
SSC_DEF_>=120_0_0_all	SSC	126	27.4	SubArea
SSC_DEF_>=120_0_0_all	SSC	135	27.4	SubArea
OTB_DEF_>=120_0_0_all	TBS	120	27.4	SubArea
OTB_DEF_>=120_0_0_all	TBS	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	TB	120	27.4	SubArea
OTB_DEF_>=120_0_0_all	TB	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	TB	126	27.4	SubArea
OTB_DEF_>=120_0_0_all	PTB	120	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	120	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	122	27.4	SubArea
OTB_DEF_>=120_0_0_all	PTB	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	OT	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTT	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	125	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	130	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	135	27.4	SubArea
OTB_DEF_>=120_0_0_all	OTB	185	27.4	SubArea
OTB_CRU_16-31_0_0_all	TB	16	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	16	27.4	SubArea
OTB_CRU_16-31_0_0_all	TB	18	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	18	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	19	27.4	SubArea
OTB_CRU_16-31_0_0_all	TBS	19	27.4	SubArea
OTB_CRU_16-31_0_0_all	TB	20	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	20	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	22	27.4	SubArea
OTB_CRU_16-31_0_0_all	TB	24	27.4	SubArea
OTB_CRU_16-31_0_0_all	OTB	25	27.4	SubArea
OTB_CRU_16-31_0_0_all	TBS	25	27.4	SubArea
OTB_CRU_16-31_0_0_all	TB	30	27.4	SubArea
OTB_CRU_16-31_0_0_all	TBS	30	27.4	SubArea
OTB_CRU_32-69_0_0_all	TB	32	27.4	SubArea
OTB_CRU_32-69_0_0_all	TB	34	27.4	SubArea
OTB_CRU_32-69_0_0_all	TB	35	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	35	27.4	SubArea
OTB_CRU_32-69_0_0_all	OTB	35	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	36	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	38	27.4	SubArea
OTB_CRU_32-69_0_0_all	OTB	38	27.4	SubArea
OTB_CRU_32-69_0_0_all	PTB	38	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	40	27.4	SubArea
OTB_CRU_32-69_0_0_all	OTB	40	27.4	SubArea
OTB_CRU_32-69_0_0_all	TB	40	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	42	27.4	SubArea
OTB_CRU_32-69_0_0_all	OTB	44	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	46	27.4	SubArea
OTB_CRU_32-69_0_0_all	TBS	50	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	32	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	34	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	35	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	36	27.4	SubArea
OTB_SPF_32-69_0_0_all	OTM	38	27.4	SubArea
OTB_SPF_32-69_0_0_all	PTM	40	27.4	SubArea
OTB_SPF_32-69_0_0_all	PTM	44	27.4	SubArea
OTB_SPF_32-69_0_0_all	PTM	45	27.4	SubArea
OTB_SPF_32-69_0_0_all	OTM	48	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	40	27.4	SubArea
OTB_SPF_32-69_0_0_all	TMS	40	27.4	SubArea
OTB_SPF_32-69_0_0_all	OTM	40	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	44	27.4	SubArea
OTB_SPF_32-69_0_0_all	OTM	44	27.4	SubArea
OTB_SPF_32-69_0_0_all	TM	50	27.4	SubArea
OTB_SPF_32-69_0_0_all	OTM	50	27.4	SubArea
MIS_MIS_0_0_0_HC	SSC	25	27.4	SubArea
MIS_MIS_0_0_0_HC	SV	25	27.4	SubArea
MIS_MIS_0_0_0_HC	SPR	120	27.4	SubArea
MIS_MIS_0_0_0_HC	TX	10	27.4	SubArea
MIS_MIS_0_0_0_HC	TB	10	27.4	SubArea
MIS_MIS_0_0_0_HC	OTB	15	27.4	SubArea
MIS_MIS_0_0_0_HC	OTB	5	27.4	SubArea
MIS_MIS_0_0_0_HC	TB	5	27.4	SubArea
MIS_MIS_0_0_0_HC	TB	8	27.4	SubArea
MIS_MIS_0_0_0_HC	TX	17	27.4	SubArea
MIS_MIS_0_0_0_HC	TX	20	27.4	SubArea
MIS_MIS_0_0_0_HC	TM	5	27.4	SubArea
MIS_MIS_0_0_0_HC	TM	10	27.4	SubArea
MIS_MIS_0_0_0_HC	OTM	11	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	7	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	16	27.4	SubArea
MIS_MIS_0_0_0_HC	OTM	17	27.4	SubArea
MIS_MIS_0_0_0_HC	TM	18	27.4	SubArea
MIS_MIS_0_0_0_HC	OTM	19	27.4	SubArea
MIS_MIS_0_0_0_HC	OTM	20	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	20	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	22	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	25	27.4	SubArea
MIS_MIS_0_0_0_HC	TM	30	27.4	SubArea
MIS_MIS_0_0_0_HC	PTM	120	27.4	SubArea
MIS_MIS_0_0_0_HC	PT	120	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	NON	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	NON	27.4	SubArea
MIS_MIS_0_0_0_HC	PS2	NON	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	0	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	5	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	8	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	10	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	12	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	16	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	16	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	17	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	19	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	20	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	24	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	25	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	30	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	32	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	35	27.4	SubArea
MIS_MIS_0_0_0_HC	PS	36	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	40	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	42	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	44	27.4	SubArea
MIS_MIS_0_0_0_HC	PS1	46	27.4	SubArea
MIS_MIS_0_0_0_HC	OTB	12	27.4	SubArea
#
# Merk maskevidde 909
#
GNS_DEF_all_0_0_all	GEN	909	27.4	SubArea
#
LLS_FIF_0_0_0_all	LL	NON	27.6.a	Div
LLS_FIF_0_0_0_all	LLS	NON	27.6.a	Div
OTB_CRU_16-31_0_0_all	TB	30	27.6.a	Div
OTB_SPF_32-69_0_0_all	PTM	60	27.6.a	Div
OTB_SPF_32-69_0_0_all	TM	50	27.6.a	Div
#
LLS_FIF_0_0_0_all	LL	NON	27.6	SubArea
LLS_FIF_0_0_0_all	LLS	NON	27.6	SubArea
OTB_CRU_16-31_0_0_all	TB	30	27.6	SubArea
#
GNS_DEF_all_0_0_all	GEN	63	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	180	27.3.a	Div
GNS_DEF_all_0_0_all	GEN	150	27.3.a	Div
LLS_FIF_0_0_0_all	LL	NON	27.3.a	Div
LLS_FIF_0_0_0_all	LLS	NON	27.3.a	Div
SSC_DEF_>=120_0_0_all	SSC	120	27.3.a	Div
SSC_DEF_>=120_0_0_all	SSC	126	27.3.a	Div
SSC_DEF_>=120_0_0_all	SSC	135	27.3.a	Div
OTB_DEF_>=120_0_0_all	OTB	120	27.3.a	Div
OTB_DEF_>=120_0_0_all	OTB	130	27.3.a	Div
OTB_DEF_>=120_0_0_all	OTB	135	27.3.a	Div
OTB_DEF_>=120_0_0_all	PTB	125	27.3.a	Div
OTB_CRU_16-31_0_0_all	TB	18	27.3.a	Div
OTB_CRU_16-31_0_0_all	TBS	19	27.3.a	Div
OTB_CRU_16-31_0_0_all	OTB	19	27.3.a	Div
