#list metier assignments based on landings only
metier	REDSKAP_NS	ICESarea	ICESareatype
OTB_DEF_>=120_0_0_all	51	27.4	SubArea
OTB_DEF_>=120_0_0_all	52	27.4	SubArea
OTB_DEF_>=120_0_0_all	55	27.4	SubArea
OTB_DEF_>=120_0_0_all	56	27.4	SubArea
OTB_DEF_>=120_0_0_all	58	27.4	SubArea
GNS_DEF_all_0_0_all	22	27.4	SubArea
GNS_DEF_all_0_0_all	20	27.4	SubArea
SDN_DEF_>=120_0_0_all	61	27.4	SubArea
LLS_FIF_0_0_0_all	32	27.4	SubArea
LLS_FIF_0_0_0_all	35	27.4	SubArea
OTB_DEF_>=120_0_0_all	53	27.4	SubArea
MIS_MIS_0_0_0_HC	41	27.4	SubArea
MIS_MIS_0_0_0_HC	42	27.4	SubArea
MIS_MIS_0_0_0_HC	11	27.4	SubArea
MIS_MIS_0_0_0_HC	21	27.4	SubArea
MIS_MIS_0_0_0_HC	31	27.4	SubArea
MIS_MIS_0_0_0_HC	33	27.4	SubArea
MIS_MIS_0_0_0_HC	34	27.4	SubArea
MIS_MIS_0_0_0_HC	80	27.4	SubArea
#
LLS_FIF_0_0_0_all	35	27.6.a	Div
OTB_DEF_>=120_0_0_all	51	27.6.a	Div
#
GNS_DEF_all_0_0_all	22	27.3.a	Div
GNS_DEF_all_0_0_all	20	27.3.a	Div
LLS_FIF_0_0_0_all	32	27.3.a	Div
LLS_FIF_0_0_0_all	35	27.3.a	Div
MIS_MIS_0_0_0_HC	21	27.3.a	Div
MIS_MIS_0_0_0_HC	11	27.3.a	Div
MIS_MIS_0_0_0_HC	34	27.3.a	Div
MIS_MIS_0_0_0_HC	42	27.3.a	Div
MIS_MIS_0_0_0_HC	41	27.3.a	Div
MIS_MIS_0_0_0_HC	33	27.3.a	Div
MIS_MIS_0_0_0_HC	80	27.3.a	Div
OTB_DEF_>=120_0_0_all	51	27.3.a	Div
OTB_DEF_>=120_0_0_all	52	27.3.a	Div
OTB_DEF_>=120_0_0_all	55	27.3.a	Div
OTB_DEF_>=120_0_0_all	57	27.3.a	Div
SDN_DEF_>=120_0_0_all	61	27.3.a	Div
#
GNS_DEF_all_0_0_all	22	27.3.a.20	SubDiv
GNS_DEF_all_0_0_all	20	27.3.a.20	SubDiv
LLS_FIF_0_0_0_all	32	27.3.a.20	SubDiv
LLS_FIF_0_0_0_all	35	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	21	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	11	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	34	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	42	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	41	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	33	27.3.a.20	SubDiv
MIS_MIS_0_0_0_HC	80	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	51	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	52	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	55	27.3.a.20	SubDiv
OTB_DEF_>=120_0_0_all	57	27.3.a.20	SubDiv
SDN_DEF_>=120_0_0_all	61	27.3.a.20	SubDiv
