timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
040533.00, A, DVTLAM, 1, P, 10.38, 15, 24
040533.00, V, DVTLAM, 1, A, 13.13, 15, 28
040533.00, V, DVTLAM, 1, B, 4.44, 15, 1F
040533.00, V, DVTLAM, 1, R, 15.38, 15, 34
040533.00, A, DVTLAM, 1, D, 255.31, 15, 0A
040533.00, A, DVTLAM, 1, T, 6.0, 15, 1C
040533.00, A, DVTLAM, 1, S, 50.75, 15, 2A
040533.00, V, DVTLAS, 1, A, 9.69, 15, 00
040533.00, V, DVTLAS, 1, B, 5.88, 15, 00
040533.00, V, DVTLAS, 1, R, 1.81, 15, 1D
040533.00, V, DVTLAS, 1, P, 12.88, 15, 24
040533.00, A, DVTLAS, 1, D, 250.63, 15, 16
040533.00, A, TEY, 2, O, 4.75, 15, 4A
040533.00, A, TEY, 2, C, 0.81, 15, 49
040533.00, A, TEY, 2, F, 0.0, 15, 45
040533.00, A, TEY, 2, H, 5.56, 15, 4D
040533.00, V, TSP, 1, Y, 1.84, 15, 5C
040533.00, V, TSP, 1, X, 0.26, 15, 54
040536.00, V, DVTLAM, 1, P, 10.38, 15, 36
040536.00, V, DVTLAM, 1, A, 13.13, 15, 2D
040536.00, V, DVTLAM, 1, B, 4.44, 15, 1A
040536.00, V, DVTLAM, 1, R, 15.38, 15, 31
040536.00, A, DVTLAM, 1, D, 254.81, 15, 05
040536.00, V, DVTLAM, 1, T, 6.0, 15, 0E
040536.00, V, DVTLAM, 1, S, 50.75, 15, 38
040536.00, A, DVTLAS, 1, R, 5.63, 15, 07
040536.00, V, DVTLAS, 1, A, 9.69, 15, 05
040536.00, V, DVTLAS, 1, B, 5.88, 15, 05
040536.00, V, DVTLAS, 1, P, 12.88, 15, 21
040536.00, A, DVTLAS, 1, D, 242.44, 15, 15
040536.00, A, TEY, 2, O, 4.88, 15, 4D
040536.00, A, TEY, 2, C, 0.81, 15, 4C
040536.00, A, TEY, 2, F, 0.0, 15, 40
040536.00, A, TEY, 2, H, 5.69, 15, 44
040536.00, V, TSP, 1, Y, 1.84, 15, 59
040536.00, V, TSP, 1, X, 0.26, 15, 51
040539.00, V, DVTLAM, 1, P, 10.38, 15, 39
040539.00, V, DVTLAM, 1, A, 13.13, 15, 22
040539.00, V, DVTLAM, 1, B, 4.44, 15, 15
040539.00, V, DVTLAM, 1, R, 15.38, 15, 3E
040539.00, V, DVTLAM, 1, D, 254.81, 15, 1D
040539.00, V, DVTLAM, 1, T, 6.0, 15, 01
040539.00, V, DVTLAM, 1, S, 50.75, 15, 37
040539.00, A, DVTLAS, 1, B, 3.88, 15, 1B
040539.00, V, DVTLAS, 1, A, 9.69, 15, 0A
040539.00, V, DVTLAS, 1, R, 5.63, 15, 1F
040539.00, V, DVTLAS, 1, P, 12.88, 15, 2E
040539.00, A, DVTLAS, 1, D, 248.31, 15, 12
040539.00, A, TEY, 2, C, 0.81, 15, 43
040539.00, A, TEY, 2, F, 0.0, 15, 4F
040539.00, A, TEY, 2, H, 5.75, 15, 46
040539.00, V, TSP, 1, Y, 1.84, 15, 56
040539.00, V, TSP, 1, X, 0.26, 15, 5E
040542.00, A, DVTLAM, 1, R, 11.63, 15, 2F
040542.00, V, DVTLAM, 1, A, 13.13, 15, 2E
040542.00, V, DVTLAM, 1, B, 4.44, 15, 19
040542.00, V, DVTLAM, 1, P, 10.38, 15, 35
040542.00, A, DVTLAM, 1, D, 254.94, 15, 02
040542.00, V, DVTLAM, 1, T, 6.0, 15, 0D
040542.00, A, DVTLAM, 1, S, 49.88, 15, 26
040542.00, V, DVTLAS, 1, B, 3.88, 15, 00
040542.00, V, DVTLAS, 1, A, 9.69, 15, 06
040542.00, V, DVTLAS, 1, R, 5.63, 15, 13
040542.00, V, DVTLAS, 1, P, 12.88, 15, 22
040542.00, A, DVTLAS, 1, D, 246.13, 15, 10
040542.00, A, TEY, 2, O, 4.94, 15, 43
040542.00, A, TEY, 2, C, 1.19, 15, 4F
040542.00, A, TEY, 2, F, 0.0, 15, 43
040542.00, A, TEY, 2, H, 6.13, 15, 49
040542.00, A, TSP, 1, X, 0.17, 15, 47
040542.00, V, TSP, 1, Y, 1.84, 15, 5A
040545.00, A, DVTLAM, 1, A, 10.13, 15, 3D
040545.00, V, DVTLAM, 1, B, 4.44, 15, 1E
040545.00, V, DVTLAM, 1, R, 11.63, 15, 3F
040545.00, V, DVTLAM, 1, P, 10.38, 15, 32
040545.00, A, DVTLAM, 1, D, 254.5, 15, 0D
040545.00, A, DVTLAM, 1, T, 5.44, 15, 1E
040545.00, V, DVTLAM, 1, S, 49.88, 15, 36
040545.00, A, DVTLAS, 1, P, 14.44, 15, 34
040545.00, V, DVTLAS, 1, A, 9.69, 15, 01
040545.00, V, DVTLAS, 1, B, 3.88, 15, 07
040545.00, V, DVTLAS, 1, R, 5.63, 15, 14
040545.00, V, DVTLAS, 1, D, 246.13, 15, 00
040545.00, A, TEY, 2, O, 5.13, 15, 4A
040545.00, A, TEY, 2, C, 1.25, 15, 47
040545.00, A, TEY, 2, F, 0.0, 15, 44
040545.00, A, TEY, 2, H, 6.38, 15, 47
040545.00, V, TSP, 1, X, 0.17, 15, 57
040545.00, V, TSP, 1, Y, 1.84, 15, 5D
040548.00, V, DVTLAM, 1, A, 10.13, 15, 27
040548.00, V, DVTLAM, 1, B, 4.44, 15, 13
040548.00, V, DVTLAM, 1, R, 11.63, 15, 32
040548.00, V, DVTLAM, 1, P, 10.38, 15, 3F
040548.00, V, DVTLAM, 1, D, 254.5, 15, 17
040548.00, V, DVTLAM, 1, T, 5.44, 15, 04
040548.00, V, DVTLAM, 1, S, 49.88, 15, 3B
040548.00, V, DVTLAS, 1, P, 14.44, 15, 2E
040548.00, V, DVTLAS, 1, A, 9.69, 15, 0C
040548.00, V, DVTLAS, 1, B, 3.88, 15, 0A
040548.00, V, DVTLAS, 1, R, 5.63, 15, 19
040548.00, A, DVTLAS, 1, D, 244.19, 15, 12
040548.00, A, TEY, 2, O, 5.13, 15, 47
040548.00, A, TEY, 2, C, 0.69, 15, 43
