timestamp hhmmss.ss, status A/V, sensortype, sensorid, measurementid, measurementvalue, qualityfactor, checksum
085846.00, A, DVTLAM, 1, P, 8.94, 15, 1D
085846.00, V, DVTLAM, 1, A, 7.06, 15, 1F
085846.00, V, DVTLAM, 1, B, 3.06, 15, 18
085846.00, V, DVTLAM, 1, R, 25.63, 15, 3F
085846.00, A, DVTLAM, 1, D, 198.69, 15, 03
085846.00, V, DVTLAM, 1, T, 5.44, 15, 0E
085846.00, V, DVTLAM, 1, S, 72.81, 15, 30
085846.00, A, DVTLAS, 1, R, 13.75, 13, 32
085846.00, V, DVTLAS, 1, A, 7.19, 13, 09
085846.00, V, DVTLAS, 1, B, 5.0, 13, 00
085846.00, V, DVTLAS, 1, P, 6.5, 13, 14
085846.00, A, DVTLAS, 1, D, 202.63, 15, 17
085846.00, V, TSP, 1, X, nan, 0, 7C
085846.00, V, TSP, 1, Y, nan, 0, 7D
085846.00, A, DP, 2, , nan, 0, 73
085849.00, V, DVTLAM, 1, P, 8.94, 15, 05
085849.00, V, DVTLAM, 1, A, 7.06, 15, 10
085849.00, V, DVTLAM, 1, B, 3.06, 15, 17
085849.00, V, DVTLAM, 1, R, 25.63, 15, 30
085849.00, A, DVTLAM, 1, D, 200.31, 15, 03
085849.00, V, DVTLAM, 1, T, 5.44, 15, 01
085849.00, V, DVTLAM, 1, S, 72.81, 15, 3F
085849.00, V, DVTLAS, 1, R, 13.75, 13, 2A
085849.00, V, DVTLAS, 1, A, 7.19, 13, 06
085849.00, V, DVTLAS, 1, B, 5.0, 13, 0F
085849.00, V, DVTLAS, 1, P, 6.5, 13, 1B
085849.00, A, DVTLAS, 1, D, 202.31, 15, 1F
085849.00, V, TSP, 1, X, nan, 0, 73
085849.00, V, TSP, 1, Y, nan, 0, 72
085849.00, V, DP, 2, , nan, 0, 6B
085852.00, V, DVTLAM, 1, P, 8.94, 15, 0F
085852.00, V, DVTLAM, 1, A, 7.06, 15, 1A
085852.00, V, DVTLAM, 1, B, 3.06, 15, 1D
085852.00, V, DVTLAM, 1, R, 25.63, 15, 3A
085852.00, V, DVTLAM, 1, D, 200.31, 15, 1E
085852.00, A, DVTLAM, 1, T, 5.56, 15, 1F
085852.00, A, DVTLAM, 1, S, 74.44, 15, 2D
085852.00, A, DVTLAS, 1, A, 7.56, 15, 16
085852.00, V, DVTLAS, 1, B, 5.0, 15, 03
085852.00, V, DVTLAS, 1, R, 13.75, 15, 26
085852.00, V, DVTLAS, 1, P, 6.5, 15, 17
085852.00, V, DVTLAS, 1, D, 202.31, 15, 02
085852.00, V, TSP, 1, X, nan, 0, 79
085852.00, V, TSP, 1, Y, nan, 0, 78
085852.00, V, DP, 2, , nan, 0, 61
085855.00, A, DVTLAM, 1, R, 23.63, 15, 2C
085855.00, V, DVTLAM, 1, A, 7.06, 15, 1D
085855.00, V, DVTLAM, 1, B, 3.06, 15, 1A
085855.00, V, DVTLAM, 1, P, 8.94, 15, 08
085855.00, A, DVTLAM, 1, D, 202.38, 15, 05
085855.00, V, DVTLAM, 1, T, 5.56, 15, 0F
085855.00, V, DVTLAM, 1, S, 74.44, 15, 3D
085855.00, V, DVTLAS, 1, A, 7.56, 15, 06
085855.00, V, DVTLAS, 1, B, 5.0, 15, 04
085855.00, V, DVTLAS, 1, R, 13.75, 15, 21
085855.00, V, DVTLAS, 1, P, 6.5, 15, 10
085855.00, A, DVTLAS, 1, D, 202.69, 15, 1F
085855.00, A, TSP, 1, X, nan, 0, 69
085855.00, V, TSP, 1, Y, nan, 0, 7F
085855.00, A, DP, 2, , nan, 0, 71
085858.00, V, DVTLAM, 1, R, 23.63, 15, 36
085858.00, V, DVTLAM, 1, A, 7.06, 15, 10
085858.00, V, DVTLAM, 1, B, 3.06, 15, 17
085858.00, V, DVTLAM, 1, P, 8.94, 15, 05
085858.00, A, DVTLAM, 1, D, 203.38, 15, 09
085858.00, V, DVTLAM, 1, T, 5.56, 15, 02
085858.00, V, DVTLAM, 1, S, 74.44, 15, 30
085858.00, A, DVTLAS, 1, R, 18.13, 15, 30
085858.00, V, DVTLAS, 1, A, 7.56, 15, 0B
085858.00, V, DVTLAS, 1, B, 5.0, 15, 09
085858.00, V, DVTLAS, 1, P, 6.5, 15, 1D
085858.00, A, DVTLAS, 1, D, 205.63, 15, 1F
085858.00, V, TSP, 1, X, nan, 0, 73
085858.00, V, TSP, 1, Y, nan, 0, 72
085858.00, V, DP, 2, , nan, 0, 6B
085901.00, A, DVTLAM, 1, A, 8.56, 15, 00
085901.00, V, DVTLAM, 1, B, 3.06, 15, 1A
085901.00, V, DVTLAM, 1, R, 23.63, 15, 3B
085901.00, V, DVTLAM, 1, P, 8.94, 15, 08
085901.00, A, DVTLAM, 1, D, 205.81, 15, 00
085901.00, V, DVTLAM, 1, T, 5.56, 15, 0F
085901.00, V, DVTLAM, 1, S, 74.44, 15, 3D
085901.00, A, DVTLAS, 1, B, 3.38, 15, 1E
085901.00, V, DVTLAS, 1, A, 7.56, 15, 06
085901.00, V, DVTLAS, 1, R, 18.13, 15, 2A
085901.00, V, DVTLAS, 1, P, 6.5, 15, 10
085901.00, A, DVTLAS, 1, D, 205.38, 15, 1C
085901.00, V, TSP, 1, X, nan, 0, 7E
085901.00, V, TSP, 1, Y, nan, 0, 7F
085901.00, A, DP, 2, , nan, 0, 71
085905.00, V, DVTLAM, 1, A, 8.56, 15, 13
085905.00, V, DVTLAM, 1, B, 3.06, 15, 1E
085905.00, V, DVTLAM, 1, R, 23.63, 15, 3F
085905.00, V, DVTLAM, 1, P, 8.94, 15, 0C
085905.00, A, DVTLAM, 1, D, 202.44, 15, 0A
085905.00, A, DVTLAM, 1, T, 5.69, 15, 10
085905.00, A, DVTLAM, 1, S, 72.31, 15, 2A
085905.00, V, DVTLAS, 1, B, 3.38, 15, 0D
085905.00, V, DVTLAS, 1, A, 7.56, 15, 02
085905.00, V, DVTLAS, 1, R, 18.13, 15, 2E
085905.00, V, DVTLAS, 1, P, 6.5, 15, 14
085905.00, A, DVTLAS, 1, D, 203.88, 15, 15
085905.00, V, TSP, 1, X, nan, 0, 7A
085905.00, V, TSP, 1, Y, nan, 0, 7B
085905.00, V, DP, 2, , nan, 0, 62
085908.00, A, DVTLAM, 1, R, 23.38, 15, 2B
085908.00, V, DVTLAM, 1, A, 8.56, 15, 1E
085908.00, V, DVTLAM, 1, B, 3.06, 15, 13
085908.00, V, DVTLAM, 1, P, 8.94, 15, 01
085908.00, V, DVTLAM, 1, D, 202.44, 15, 10
085908.00, V, DVTLAM, 1, T, 5.69, 15, 0A
085908.00, V, DVTLAM, 1, S, 72.31, 15, 30
085908.00, A, DVTLAS, 1, P, 6.94, 15, 06
085908.00, V, DVTLAS, 1, A, 7.56, 15, 0F
085908.00, V, DVTLAS, 1, B, 3.38, 15, 00
085908.00, V, DVTLAS, 1, R, 18.13, 15, 23
085908.00, V, DVTLAS, 1, D, 203.88, 15, 0F
085908.00, A, TSP, 1, X, nan, 0, 60
085908.00, V, TSP, 1, Y, nan, 0, 76
085908.00, V, DP, 2, , nan, 0, 6F
085911.00, A, DVTLAM, 1, B, 3.06, 15, 0C
085911.00, V, DVTLAM, 1, A, 8.56, 15, 16
085911.00, V, DVTLAM, 1, R, 23.38, 15, 34
085911.00, V, DVTLAM, 1, P, 8.94, 15, 09
085911.00, A, DVTLAM, 1, D, 204.63, 15, 0C
085911.00, V, DVTLAM, 1, T, 5.69, 15, 02
085911.00, V, DVTLAM, 1, S, 72.31, 15, 38
085911.00, V, DVTLAS, 1, P, 6.94, 15, 19
085911.00, V, DVTLAS, 1, A, 7.56, 15, 07
085911.00, V, DVTLAS, 1, B, 3.38, 15, 08
085911.00, V, DVTLAS, 1, R, 18.13, 15, 2B
085911.00, A, DVTLAS, 1, D, 206.5, 15, 10
085911.00, V, TSP, 1, X, nan, 0, 7F
085911.00, V, TSP, 1, Y, nan, 0, 7E
085911.00, A, DP, 2, , nan, 0, 70
085914.00, V, DVTLAM, 1, B, 3.06, 15, 1E
085914.00, V, DVTLAM, 1, A, 8.56, 15, 13
085914.00, V, DVTLAM, 1, R, 23.38, 15, 31
085914.00, V, DVTLAM, 1, P, 8.94, 15, 0C
085914.00, A, DVTLAM, 1, D, 205.69, 15, 02
085914.00, V, DVTLAM, 1, T, 5.69, 15, 07
085914.00, V, DVTLAM, 1, S, 72.31, 15, 3D
085914.00, A, DVTLAS, 1, P, 7.13, 15, 05
085914.00, V, DVTLAS, 1, A, 7.56, 15, 02
085914.00, V, DVTLAS, 1, B, 3.38, 15, 0D
085914.00, V, DVTLAS, 1, R, 18.13, 15, 2E
085914.00, A, DVTLAS, 1, D, 207.5, 15, 14
085914.00, V, TSP, 1, X, nan, 0, 7A
085914.00, V, TSP, 1, Y, nan, 0, 7B
085914.00, V, DP, 2, , nan, 0, 62
085917.00, A, DVTLAM, 1, P, 9.31, 15, 16
085917.00, V, DVTLAM, 1, A, 8.56, 15, 10
085917.00, V, DVTLAM, 1, B, 3.06, 15, 1D
085917.00, V, DVTLAM, 1, R, 23.38, 15, 32
085917.00, A, DVTLAM, 1, D, 205.5, 15, 0B
085917.00, A, DVTLAM, 1, T, 5.63, 15, 19
085917.00, A, DVTLAM, 1, S, 74.25, 15, 2A
085917.00, V, DVTLAS, 1, P, 7.13, 15, 11
085917.00, V, DVTLAS, 1, A, 7.56, 15, 01
085917.00, V, DVTLAS, 1, B, 3.38, 15, 0E
085917.00, V, DVTLAS, 1, R, 18.13, 15, 2D
085917.00, A, DVTLAS, 1, D, 207.19, 15, 1A
085917.00, V, TSP, 1, X, nan, 0, 79
085917.00, V, TSP, 1, Y, nan, 0, 78
085917.00, A, DP, 2, , nan, 0, 76
085920.00, V, DVTLAM, 1, P, 9.31, 15, 05
085920.00, V, DVTLAM, 1, A, 8.56, 15, 14
085920.00, V, DVTLAM, 1, B, 3.06, 15, 19
085920.00, V, DVTLAM, 1, R, 23.38, 15, 36
085920.00, A, DVTLAM, 1, D, 206.31, 15, 0B
085920.00, V, DVTLAM, 1, T, 5.63, 15, 0A
085920.00, V, DVTLAM, 1, S, 74.25, 15, 39
085920.00, V, DVTLAS, 1, P, 7.13, 15, 15
085920.00, V, DVTLAS, 1, A, 7.56, 15, 05
085920.00, V, DVTLAS, 1, B, 3.38, 15, 0A
085920.00, V, DVTLAS, 1, R, 18.13, 15, 29
085920.00, A, DVTLAS, 1, D, 210.0, 15, 10
085920.00, A, TSP, 1, X, nan, 0, 6A
085920.00, V, TSP, 1, Y, nan, 0, 7C
085920.00, V, DP, 2, , nan, 0, 65
085923.00, A, DVTLAM, 1, P, 9.5, 15, 16
085923.00, V, DVTLAM, 1, A, 8.56, 15, 17
085923.00, V, DVTLAM, 1, B, 3.06, 15, 1A
085923.00, V, DVTLAM, 1, R, 23.38, 15, 35
085923.00, A, DVTLAM, 1, D, 208.25, 15, 03
085923.00, V, DVTLAM, 1, T, 5.63, 15, 09
085923.00, V, DVTLAM, 1, S, 74.25, 15, 3A
085923.00, A, DVTLAS, 1, R, 17.5, 15, 35
085923.00, V, DVTLAS, 1, A, 7.56, 15, 06
085923.00, V, DVTLAS, 1, B, 3.38, 15, 09
085923.00, V, DVTLAS, 1, P, 7.13, 15, 16
085923.00, V, DVTLAS, 1, D, 210.0, 15, 04
085923.00, V, TSP, 1, X, nan, 0, 7E
085923.00, V, TSP, 1, Y, nan, 0, 7F
085923.00, V, DP, 2, , nan, 0, 66
085926.00, V, DVTLAM, 1, P, 9.5, 15, 04
085926.00, V, DVTLAM, 1, A, 8.56, 15, 12
085926.00, V, DVTLAM, 1, B, 3.06, 15, 1F
085926.00, V, DVTLAM, 1, R, 23.38, 15, 30
085926.00, V, DVTLAM, 1, D, 208.25, 15, 11
085926.00, V, DVTLAM, 1, T, 5.63, 15, 0C
085926.00, A, DVTLAM, 1, S, 75.5, 15, 2B
085926.00, A, DVTLAS, 1, A, 7.56, 15, 14
085926.00, V, DVTLAS, 1, B, 3.38, 15, 0C
085926.00, V, DVTLAS, 1, R, 17.5, 15, 27
085926.00, V, DVTLAS, 1, P, 7.13, 15, 13
085926.00, A, DVTLAS, 1, D, 207.31, 15, 12
085926.00, V, TSP, 1, X, nan, 0, 7B
085926.00, V, TSP, 1, Y, nan, 0, 7A
085926.00, A, DP, 2, , nan, 0, 74
085929.00, V, DVTLAM, 1, P, 9.5, 15, 0B
085929.00, V, DVTLAM, 1, A, 8.56, 15, 1D
085929.00, V, DVTLAM, 1, B, 3.06, 15, 10
085929.00, V, DVTLAM, 1, R, 23.38, 15, 3F
085929.00, A, DVTLAM, 1, D, 219.44, 15, 0E
085929.00, A, DVTLAM, 1, T, 5.75, 15, 13
085929.00, V, DVTLAM, 1, S, 75.5, 15, 33
085929.00, V, DVTLAS, 1, A, 7.56, 15, 0C
085929.00, V, DVTLAS, 1, B, 3.38, 15, 03
085929.00, V, DVTLAS, 1, R, 17.5, 15, 28
085929.00, V, DVTLAS, 1, P, 7.13, 15, 1C
085929.00, A, DVTLAS, 1, D, 212.25, 15, 1C
085929.00, V, TSP, 1, X, nan, 0, 74
085929.00, V, TSP, 1, Y, nan, 0, 75
085929.00, V, DP, 2, , nan, 0, 6C
085932.00, A, DVTLAM, 1, R, 19.31, 15, 22
085932.00, V, DVTLAM, 1, A, 8.56, 15, 17
085932.00, V, DVTLAM, 1, B, 3.06, 15, 1A
085932.00, V, DVTLAM, 1, P, 9.5, 15, 01
085932.00, A, DVTLAM, 1, D, 196.81, 15, 09
085932.00, V, DVTLAM, 1, T, 5.75, 15, 0E
085932.00, V, DVTLAM, 1, S, 75.5, 15, 39
085932.00, V, DVTLAS, 1, A, 7.56, 15, 06
085932.00, V, DVTLAS, 1, B, 3.38, 15, 09
085932.00, V, DVTLAS, 1, R, 17.5, 15, 22
085932.00, V, DVTLAS, 1, P, 7.13, 15, 16
085932.00, A, DVTLAS, 1, D, 208.81, 15, 13
085932.00, V, TSP, 1, X, nan, 0, 7E
085932.00, V, TSP, 1, Y, nan, 0, 7F
085932.00, V, DP, 2, , nan, 0, 66
085935.00, A, DVTLAM, 1, A, 10.31, 15, 3F
085935.00, V, DVTLAM, 1, B, 3.06, 15, 1D
085935.00, V, DVTLAM, 1, R, 19.31, 15, 32
085935.00, V, DVTLAM, 1, P, 9.5, 15, 06
085935.00, A, DVTLAM, 1, D, 206.94, 15, 00
085935.00, V, DVTLAM, 1, T, 5.75, 15, 09
085935.00, V, DVTLAM, 1, S, 75.5, 15, 3E
085935.00, A, DVTLAS, 1, R, 14.94, 15, 39
085935.00, V, DVTLAS, 1, A, 7.56, 15, 01
085935.00, V, DVTLAS, 1, B, 3.38, 15, 0E
085935.00, V, DVTLAS, 1, P, 7.13, 15, 11
085935.00, A, DVTLAS, 1, D, 206.44, 15, 13
085935.00, A, TSP, 1, X, nan, 0, 6E
085935.00, V, TSP, 1, Y, nan, 0, 78
085935.00, A, DP, 2, , nan, 0, 76
085938.00, V, DVTLAM, 1, A, 10.31, 15, 25
085938.00, V, DVTLAM, 1, B, 3.06, 15, 10
085938.00, V, DVTLAM, 1, R, 19.31, 15, 3F
085938.00, V, DVTLAM, 1, P, 9.5, 15, 0B
085938.00, V, DVTLAM, 1, D, 206.94, 15, 1A
085938.00, V, DVTLAM, 1, T, 5.75, 15, 04
085938.00, V, DVTLAM, 1, S, 75.5, 15, 33
085938.00, A, DVTLAS, 1, B, 4.56, 15, 1B
085938.00, V, DVTLAS, 1, A, 7.56, 15, 0C
085938.00, V, DVTLAS, 1, R, 14.94, 15, 23
085938.00, V, DVTLAS, 1, P, 7.13, 15, 1C
085938.00, V, DVTLAS, 1, D, 206.44, 15, 09
085938.00, V, TSP, 1, X, nan, 0, 74
085938.00, V, TSP, 1, Y, nan, 0, 75
085938.00, V, DP, 2, , nan, 0, 6C
085941.00, V, DVTLAM, 1, A, 10.31, 15, 2B
085941.00, V, DVTLAM, 1, B, 3.06, 15, 1E
085941.00, V, DVTLAM, 1, R, 19.31, 15, 31
085941.00, V, DVTLAM, 1, P, 9.5, 15, 05
085941.00, A, DVTLAM, 1, D, 205.63, 15, 08
085941.00, A, DVTLAM, 1, T, 5.5, 15, 1A
085941.00, A, DVTLAM, 1, S, 75.94, 15, 22
085941.00, V, DVTLAS, 1, B, 4.56, 15, 02
085941.00, V, DVTLAS, 1, A, 7.56, 15, 02
085941.00, V, DVTLAS, 1, R, 14.94, 15, 2D
085941.00, V, DVTLAS, 1, P, 7.13, 15, 12
085941.00, A, DVTLAS, 1, D, 206.63, 15, 15
085941.00, V, TSP, 1, X, nan, 0, 7A
085941.00, V, TSP, 1, Y, nan, 0, 7B
085941.00, A, DP, 2, , nan, 0, 75
085944.00, A, DVTLAM, 1, R, 16.25, 15, 29
085944.00, V, DVTLAM, 1, A, 10.31, 15, 2E
085944.00, V, DVTLAM, 1, B, 3.06, 15, 1B
085944.00, V, DVTLAM, 1, P, 9.5, 15, 00
085944.00, A, DVTLAM, 1, D, 205.25, 15, 0F
085944.00, V, DVTLAM, 1, T, 5.5, 15, 08
085944.00, A, DVTLAM, 1, S, 75.94, 0, 13
085944.00, A, DVTLAS, 1, P, 7.63, 15, 07
085944.00, V, DVTLAS, 1, A, 7.56, 15, 07
085944.00, V, DVTLAS, 1, B, 4.56, 15, 07
085944.00, V, DVTLAS, 1, R, 14.94, 15, 28
085944.00, A, DVTLAS, 1, D, 206.75, 15, 17
085944.00, V, TSP, 1, X, nan, 0, 7F
085944.00, V, TSP, 1, Y, nan, 0, 7E
085944.00, V, DP, 2, , nan, 0, 67
085947.00, A, DVTLAM, 1, B, 6.13, 8, 32
085947.00, V, DVTLAM, 1, A, 10.31, 8, 11
085947.00, V, DVTLAM, 1, R, 16.25, 8, 01
085947.00, V, DVTLAM, 1, P, 9.5, 8, 3F
085947.00, A, DVTLAM, 1, D, 212.38, 15, 06
085947.00, V, DVTLAM, 1, T, 5.5, 15, 0B
085947.00, V, DVTLAM, 1, S, 75.94, 0, 07
085947.00, V, DVTLAS, 1, P, 7.63, 15, 13
085947.00, V, DVTLAS, 1, A, 7.56, 15, 04
085947.00, V, DVTLAS, 1, B, 4.56, 15, 04
085947.00, V, DVTLAS, 1, R, 14.94, 15, 2B
085947.00, A, DVTLAS, 1, D, 206.5, 15, 13
085947.00, V, TSP, 1, X, nan, 0, 7C
085947.00, V, TSP, 1, Y, nan, 0, 7D
085947.00, V, DP, 2, , nan, 0, 64
085950.00, V, DVTLAM, 1, B, 6.13, 8, 23
085950.00, V, DVTLAM, 1, A, 10.31, 8, 17
085950.00, V, DVTLAM, 1, R, 16.25, 8, 07
085950.00, V, DVTLAM, 1, P, 9.5, 8, 39
085950.00, A, DVTLAM, 1, D, 201.31, 15, 0B
085950.00, V, DVTLAM, 1, T, 5.5, 15, 0D
085950.00, A, DVTLAM, 1, S, 78.13, 15, 20
085950.00, A, DVTLAS, 1, P, 8.06, 15, 0E
085950.00, V, DVTLAS, 1, A, 7.56, 15, 02
085950.00, V, DVTLAS, 1, B, 4.56, 15, 02
085950.00, V, DVTLAS, 1, R, 14.94, 15, 2D
085950.00, A, DVTLAS, 1, D, 210.75, 15, 15
085950.00, A, TSP, 1, X, nan, 0, 6D
085950.00, V, TSP, 1, Y, nan, 0, 7B
085950.00, A, DP, 2, , nan, 0, 75
085953.00, A, DVTLAM, 1, P, 13.13, 15, 2D
085953.00, V, DVTLAM, 1, A, 10.31, 15, 28
